Season_fifa,short_name,age,dob,height_cm,weight_kg,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,release_clause_eur,nation_position,nation_jersey_number,previous_edition_overall,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
2016/17,Adrián,29,1988-01-08,183,73,Deportivo de La Coruña,Spain Primera Division,75,75,6500000.0,30000.0,"ST, RM",Right,,,,77.0,F,15,674,7,8,6,0,0,0,2,1,0,1,0,10,4,4,10,2,8,0,7,0,0,6,4,2,7,215,290,2,16,23,9,37,0,0,9,3,2,1,1,0,0,0,16,0,403,27,82,55,144,0,21,0,127,8,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,12,12,0,7,1,0,7,2,2,16
2016/17,Marín,20,1997-01-09,184,77,Villarreal CF,Spain Primera Division,73,84,6000000.0,20000.0,"LB, LWB",Left,13800000.0,,,73.0,G,16,1440,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,206,417,0,2,145,0,5,1,0,0,0,0,0,0,0,0,0,0,0,571,0,23,5,103,0,9,0,215,103,0,0,0,0,0,0,0,0,0,0,0,0,25,6,53,34,18,11,0,3,0,10,10,5,129,0,0,0,0,0,0
2016/17,Marín,20,1997-01-09,184,77,Villarreal CF,Spain Primera Division,73,84,6000000.0,20000.0,"LB, LWB",Left,13800000.0,,,73.0,F,15,674,7,8,6,0,0,0,2,1,0,1,0,10,4,4,10,2,8,0,7,0,0,6,4,2,7,215,290,2,16,23,9,37,0,0,9,3,2,1,1,0,0,0,16,0,403,27,82,55,144,0,21,0,127,8,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,12,12,0,7,1,0,7,2,2,16
2016/17,Dalmau,23,1994-03-23,181,74,Villarreal CF,Spain Primera Division,64,69,625000.0,8000.0,ST,Right,1400000.0,,,64.0,G,16,1440,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,206,417,0,2,145,0,5,1,0,0,0,0,0,0,0,0,0,0,0,571,0,23,5,103,0,9,0,215,103,0,0,0,0,0,0,0,0,0,0,0,0,25,6,53,34,18,11,0,3,0,10,10,5,129,0,0,0,0,0,0
2016/17,Dalmau,23,1994-03-23,181,74,Villarreal CF,Spain Primera Division,64,69,625000.0,8000.0,ST,Right,1400000.0,,,64.0,F,15,674,7,8,6,0,0,0,2,1,0,1,0,10,4,4,10,2,8,0,7,0,0,6,4,2,7,215,290,2,16,23,9,37,0,0,9,3,2,1,1,0,0,0,16,0,403,27,82,55,144,0,21,0,127,8,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,12,12,0,7,1,0,7,2,2,16
2016/17,P. Jones,25,1992-02-21,185,71,Manchester United,English Premier League,79,80,12500000.0,110000.0,CB,Right,24100000.0,LCB,6.0,79.0,D,18,1585,18,0,1,2,0,0,0,0,0,0,0,3,0,27,1,0,2,1,2,0,16,34,24,9,11,707,791,0,46,99,5,92,0,1,3,0,0,0,0,0,0,0,4,0,1059,7,43,40,193,1,9,1,95,82,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,1,0,0,138,138,0,44,0,1,0,0,0,7
2016/17,F. Lejeune,26,1991-05-20,190,81,Newcastle United,English Premier League,79,83,13500000.0,70000.0,CB,Right,26700000.0,,,76.0,D,34,2971,33,1,0,6,1,1,1,1,0,0,1,28,11,72,5,1,7,1,6,0,20,43,34,18,7,1058,1416,1,115,174,13,178,2,0,17,8,1,11,3,0,0,0,2,0,1862,31,108,73,370,4,32,2,398,248,0,0,0,0,0,0,0,0,7,3,2,0,43,8,0,0,0,0,2,0,0,190,182,0,174,0,2,1,1,1,18
2016/17,P. Herrmann,26,1991-02-12,179,70,Borussia Mönchengladbach,German 1. Bundesliga,79,80,15000000.0,50000.0,"RM, LM",Right,26600000.0,,,81.0,F/M,18,698,9,9,9,1,0,0,1,1,0,1,0,8,4,16,20,8,13,1,12,0,0,12,9,7,14,127,193,8,4,27,7,36,0,0,7,3,1,1,1,0,0,0,7,0,333,29,51,42,96,1,21,0,116,4,0,0,0,0,1,0,2,1,8,0,0,0,12,0,0,0,0,0,0,0,0,2,2,0,1,0,0,7,4,0,19
2016/17,M. Gabbiadini,25,1991-11-26,186,81,Southampton,English Premier League,79,83,16500000.0,100000.0,ST,Left,32600000.0,SUB,23.0,81.0,F,11,731,10,1,8,1,0,0,4,0,0,0,0,29,11,3,3,1,6,0,6,0,0,2,2,8,10,82,117,1,9,12,2,23,0,0,25,11,4,4,0,0,0,0,5,0,204,36,22,39,49,0,9,0,56,0,1,0,0,1,0,0,0,0,4,1,0,0,12,0,0,0,0,0,0,0,0,10,10,0,1,0,0,10,3,2,4
2016/17,M. Gabbiadini,25,1991-11-26,186,81,Southampton,English Premier League,79,83,16500000.0,100000.0,ST,Left,32600000.0,SUB,23.0,81.0,F,13,514,7,6,5,0,0,1,3,0,0,0,0,24,14,3,2,0,3,0,3,0,0,2,1,7,8,75,107,0,2,8,1,12,0,0,14,10,3,10,4,0,0,0,4,0,177,28,28,19,48,0,7,0,58,2,1,1,0,0,0,0,0,0,5,2,0,0,5,1,0,0,0,0,0,0,0,3,3,0,0,0,0,6,3,2,4
2016/17,Oriol Romeu,25,1991-09-24,183,83,Southampton,English Premier League,79,81,13000000.0,80000.0,"CDM, CM",Right,25700000.0,,,74.0,M,35,3072,35,0,1,11,0,0,1,0,0,0,0,28,6,89,3,2,17,1,17,0,13,117,87,66,35,1741,2068,2,75,305,29,253,0,2,8,3,1,20,3,0,0,0,28,0,2594,17,261,230,865,8,18,0,391,258,0,0,0,0,0,0,0,0,3,0,0,0,42,13,0,0,0,0,0,0,0,66,65,0,99,0,0,1,0,1,30
2016/17,E. Çolak,26,1991-05-20,169,65,Deportivo de La Coruña,Spain Primera Division,79,82,15500000.0,30000.0,"CAM, RM, CM",Left,33700000.0,SUB,21.0,77.0,M,33,2476,29,4,13,5,0,0,3,6,1,3,3,42,13,14,187,57,71,5,40,25,2,44,36,26,66,1000,1220,17,7,168,31,148,0,0,10,5,2,32,8,1,0,0,55,0,1823,23,412,174,766,1,224,0,504,68,1,0,0,1,32,6,118,92,28,4,2,0,39,5,0,0,0,0,0,0,0,9,9,0,73,3,0,4,2,1,61
2016/17,Vicente Gómez,28,1988-08-31,188,78,Unión Deportiva Las Palmas,Spain Primera Division,79,79,12500000.0,30000.0,"CM, CDM",Left,26300000.0,,,78.0,M,29,2321,28,1,11,3,0,0,2,0,0,0,0,23,10,41,4,0,12,0,12,0,6,46,31,26,66,1262,1407,0,47,115,17,171,0,1,19,8,2,4,2,0,0,0,29,0,1781,40,228,136,634,0,23,0,238,87,0,0,0,0,0,0,0,0,8,0,0,0,43,4,0,0,0,0,0,0,0,30,28,0,39,0,0,2,2,1,33
2016/17,L. Digne,23,1993-07-20,178,74,FC Barcelona,Spain Primera Division,79,84,14000000.0,120000.0,LB,Left,29800000.0,,,79.0,M/D,17,1175,14,3,6,3,0,0,0,0,0,0,0,5,1,20,35,4,10,1,10,0,4,29,18,18,10,736,843,4,21,75,15,75,0,0,2,1,0,3,0,0,0,0,9,0,1141,25,242,56,489,7,32,0,169,63,0,0,0,0,0,0,0,0,11,0,0,0,10,4,0,0,0,0,0,0,0,22,20,0,22,0,0,4,1,0,26
2016/17,Y. Konoplyanka,27,1989-09-29,178,78,FC Schalke 04,German 1. Bundesliga,79,79,13000000.0,50000.0,"LW, LM",Right,22100000.0,,,83.0,F/M,17,604,5,12,4,1,0,0,1,1,0,1,0,15,5,8,36,6,7,1,3,3,0,5,3,8,9,155,200,3,5,21,12,29,0,0,12,4,1,3,1,0,0,0,6,0,340,25,51,43,116,1,40,0,113,7,0,0,0,0,2,1,11,11,11,0,0,0,12,0,0,0,0,0,0,0,0,2,2,0,6,1,0,3,2,1,29
2016/17,Y. Konoplyanka,27,1989-09-29,178,78,FC Schalke 04,German 1. Bundesliga,79,79,13000000.0,50000.0,"LW, LM",Right,22100000.0,,,83.0,F/M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/17,D. Sidibé,24,1992-07-29,182,71,AS Monaco,French Ligue 1,79,84,14000000.0,30000.0,"RB, LB",Right,27700000.0,RB,19.0,79.0,D,29,2322,26,3,3,8,0,0,2,5,1,4,1,23,7,46,115,25,25,5,18,2,1,77,52,43,26,1062,1306,24,33,179,20,155,0,1,13,3,1,10,4,1,1,0,31,0,2119,45,318,154,646,13,129,0,483,116,0,0,0,0,1,0,8,6,17,5,3,1,22,12,0,0,0,0,1,0,0,49,44,0,62,0,0,5,2,0,49
2016/17,R. Saponara,25,1991-12-21,184,73,Fiorentina,Italian Serie A,79,82,16000000.0,70000.0,CAM,Right,,,,80.0,F/M,18,1533,18,0,5,4,0,0,2,1,0,1,0,28,12,9,17,3,19,3,17,0,4,17,13,16,33,485,617,3,8,76,24,80,0,0,17,8,1,11,4,1,0,0,53,0,918,57,185,115,320,0,64,0,271,32,0,0,0,0,0,0,0,0,10,1,0,0,21,7,0,0,0,0,0,0,0,19,19,0,12,4,0,10,3,0,50
2016/17,R. Saponara,25,1991-12-21,184,73,Fiorentina,Italian Serie A,79,82,16000000.0,70000.0,CAM,Right,,,,80.0,F/M,11,417,4,7,3,1,0,0,2,2,0,2,0,18,7,1,11,0,9,1,7,0,0,5,5,6,8,175,210,0,3,22,14,30,0,0,9,6,2,9,1,0,0,0,9,0,309,22,77,25,120,0,23,0,76,13,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,5,2,0,1,2,2,17
2016/17,L. Tonelli,27,1990-01-17,183,78,Napoli,Italian Serie A,79,81,12500000.0,70000.0,CB,Right,22200000.0,,,79.0,D,3,270,3,0,0,2,0,0,2,0,0,0,0,2,2,1,0,0,1,0,1,0,1,6,5,6,6,167,190,0,10,15,0,22,1,0,2,2,2,0,0,0,0,0,2,0,226,2,13,10,49,0,1,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,11,0,12,0,0,0,0,2,0
2016/17,V. Darida,26,1990-08-08,171,64,Hertha BSC,German 1. Bundesliga,79,80,14500000.0,40000.0,"CM, CAM, CDM",Right,25700000.0,RCM,8.0,79.0,M,25,1981,21,4,7,6,0,0,2,2,0,1,1,30,10,34,80,16,30,4,18,10,4,30,20,33,33,1084,1339,5,18,98,14,90,0,2,11,4,2,19,6,0,0,0,25,0,1694,26,286,134,584,0,118,0,393,101,0,0,0,0,6,0,43,42,16,3,0,0,30,4,0,0,0,0,1,0,0,13,13,0,100,0,0,3,0,1,31
2016/17,F. Ghoulam,26,1991-02-01,188,80,Napoli,Italian Serie A,79,82,13000000.0,70000.0,LB,Left,23100000.0,,,79.0,D,29,2379,26,3,0,1,0,0,0,6,2,5,1,18,6,28,217,52,58,7,34,17,6,29,25,17,24,1384,1582,27,42,144,19,113,1,0,2,1,0,16,5,0,0,0,18,0,2287,22,385,82,877,18,231,0,459,135,0,0,0,0,1,1,103,83,38,9,2,0,30,8,0,0,0,0,1,0,0,49,46,0,46,0,0,4,0,0,31
2016/17,P. Ntep,24,1992-07-29,180,75,VfL Wolfsburg,German 1. Bundesliga,79,82,16000000.0,60000.0,"LM, LW",Right,28400000.0,,,80.0,F,15,1131,14,1,9,1,0,0,2,5,0,5,0,32,11,4,68,11,26,7,19,2,0,20,11,10,31,416,527,6,10,70,35,95,0,0,15,8,2,17,3,0,0,0,20,0,889,48,180,97,292,0,80,0,280,22,0,0,0,0,12,2,22,19,14,8,2,0,15,1,0,0,0,0,0,0,0,3,3,0,21,4,0,6,4,1,73
2016/17,P. Ntep,24,1992-07-29,180,75,VfL Wolfsburg,German 1. Bundesliga,79,82,16000000.0,60000.0,"LM, LW",Right,28400000.0,,,80.0,F,10,503,5,5,4,0,0,0,0,2,0,2,0,11,2,5,8,1,6,3,4,0,1,8,7,8,13,115,175,1,2,28,9,32,0,0,6,2,0,5,0,0,0,0,11,0,297,20,51,52,71,0,20,0,110,1,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,5,5,0,9,0,0,1,1,0,29
2016/17,F. Fernández,28,1989-02-21,189,83,Swansea City,English Premier League,79,79,10000000.0,80000.0,CB,Right,19000000.0,,,,D,27,2430,27,0,0,7,0,0,0,2,0,0,2,15,2,49,5,1,3,1,1,0,21,44,33,26,16,927,1134,1,69,110,3,132,1,3,14,2,0,1,0,0,0,0,3,0,1522,29,90,91,300,3,19,0,229,176,0,0,0,0,0,0,0,0,3,0,0,0,41,6,0,0,0,0,1,0,0,186,180,0,98,0,0,0,2,0,5
2016/17,M. Depay,23,1994-02-13,176,78,Olympique Lyonnais,French Ligue 1,79,84,17000000.0,70000.0,"LW, LM",Right,33600000.0,SUB,17.0,80.0,F,17,1144,13,4,6,1,0,0,5,7,0,4,3,47,18,5,62,13,32,6,15,10,0,12,9,14,25,420,526,3,5,49,40,81,0,0,25,11,4,22,7,1,2,1,38,0,896,96,204,109,332,3,70,0,292,16,0,0,0,0,7,1,42,31,16,5,1,0,21,2,0,0,0,0,0,0,0,3,3,0,20,3,0,5,11,3,75
2016/17,M. Depay,23,1994-02-13,176,78,Olympique Lyonnais,French Ligue 1,79,84,17000000.0,70000.0,"LW, LM",Right,33600000.0,SUB,17.0,80.0,F,4,20,0,4,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,10,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,27,2,5,5,7,0,4,0,13,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2016/17,J. Vestergaard,24,1992-08-03,199,98,Borussia Mönchengladbach,German 1. Bundesliga,79,84,14500000.0,40000.0,CB,Right,25700000.0,LCB,3.0,,D,34,2656,29,5,1,1,0,0,4,1,0,1,0,35,12,54,0,0,5,2,4,0,21,70,50,22,22,1654,1948,0,132,146,10,228,1,2,32,11,4,3,1,0,0,0,4,0,2376,42,72,113,418,3,18,2,314,268,0,0,0,0,0,0,0,0,1,1,0,0,40,8,0,0,0,0,0,0,0,172,169,0,124,1,0,0,2,2,11
2016/17,J. Stones,23,1994-05-28,188,75,Manchester City,English Premier League,79,85,14500000.0,100000.0,CB,Right,29700000.0,SUB,16.0,78.0,D,27,2013,23,4,3,1,0,0,0,0,0,0,0,13,2,39,0,0,4,0,4,0,14,25,20,8,9,1344,1465,0,49,114,21,104,3,1,13,2,0,0,0,0,0,0,4,0,1762,23,92,46,445,3,6,1,144,162,0,0,0,0,0,0,0,0,1,0,0,0,29,4,0,0,0,0,0,0,0,114,108,0,60,0,0,0,3,0,22
2016/17,Š. Vrsaljko,25,1992-01-10,183,73,Atlético de Madrid,Spain Primera Division,79,83,13500000.0,50000.0,RB,Right,28700000.0,,,79.0,M/D,14,923,11,3,2,2,0,0,0,0,0,0,0,3,0,32,30,4,5,0,4,1,1,28,20,22,9,217,317,4,20,64,9,65,0,0,3,0,0,0,0,0,0,0,5,0,627,7,75,50,135,9,51,0,189,31,0,0,0,0,0,0,0,0,14,0,0,0,7,5,0,0,0,0,0,0,0,33,33,0,17,0,0,4,0,0,12
2016/17,C. Kramer,26,1991-02-19,191,76,Borussia Mönchengladbach,German 1. Bundesliga,79,82,13000000.0,40000.0,"CDM, CM",Right,23100000.0,,,78.0,M,24,1963,23,1,3,5,1,1,0,4,0,3,1,2,0,60,0,0,11,5,6,1,11,71,58,40,28,1309,1544,0,56,127,16,170,0,0,1,0,0,1,0,0,0,0,19,0,1876,16,196,158,569,5,17,0,296,145,0,0,0,0,0,0,1,0,3,0,0,0,29,7,0,0,0,0,1,0,0,29,27,0,66,1,0,1,0,0,28
2016/17,Rubén Pardo,24,1992-10-22,181,69,Real Sociedad,Spain Primera Division,79,83,16000000.0,30000.0,CM,Right,34800000.0,,,77.0,M,16,1272,15,1,8,2,0,0,1,0,0,0,0,18,7,23,43,13,10,0,7,3,4,35,16,10,7,601,764,3,5,115,11,57,1,0,3,1,0,15,6,1,0,0,8,0,970,7,149,46,320,2,68,0,222,95,0,0,0,0,9,3,30,25,6,3,1,0,22,1,0,0,0,0,0,0,0,11,11,0,85,2,0,0,0,0,16
2016/17,Rubén Pardo,24,1992-10-22,181,69,Real Sociedad,Spain Primera Division,79,83,16000000.0,30000.0,CM,Right,34800000.0,,,77.0,M,3,159,2,1,1,0,0,0,0,0,0,0,0,0,0,2,15,2,3,0,2,1,0,1,1,0,1,47,65,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,2,0,94,1,14,7,31,0,14,0,34,6,0,0,0,0,5,0,7,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
2016/17,Bernat,24,1993-03-01,170,67,FC Bayern München,German 1. Bundesliga,79,83,13500000.0,80000.0,"LB, LM",Left,23300000.0,,,79.0,M/D,18,1235,13,5,2,1,0,0,2,2,0,2,0,11,6,28,43,9,15,1,13,0,6,21,17,18,18,712,792,9,16,76,30,82,0,0,9,6,2,2,0,0,0,0,15,0,1180,49,211,83,406,7,54,0,195,27,0,0,0,0,0,0,0,0,12,0,0,0,12,5,0,0,0,0,1,0,0,15,15,0,8,0,1,2,3,1,58
2016/17,D. Baselli,25,1992-03-12,182,70,Torino F.C.,Italian Serie A,79,84,16500000.0,50000.0,CM,Right,29300000.0,,,,M,37,2298,28,9,21,6,0,0,6,5,1,5,0,41,13,49,12,3,27,2,22,0,3,70,53,48,30,1014,1218,2,11,196,24,135,0,1,22,8,6,19,5,0,0,0,25,0,1599,45,264,136,522,3,57,0,289,94,0,0,0,0,0,0,1,1,3,0,0,0,39,0,0,0,0,0,0,0,0,24,24,0,74,2,0,0,1,4,35
2016/17,L. Shaw,21,1995-07-12,185,75,Manchester United,English Premier League,79,84,14000000.0,90000.0,LB,Left,27000000.0,,,81.0,D,11,692,9,2,5,1,0,0,0,1,0,1,0,6,1,12,21,7,10,1,8,1,1,12,6,7,6,328,383,5,11,43,9,38,0,1,1,0,0,5,1,0,0,2,6,0,565,9,110,28,212,3,26,0,104,32,0,0,0,0,1,0,3,3,3,0,0,0,6,3,0,0,0,0,0,0,0,27,22,0,9,0,1,0,0,0,14
2016/17,Gerard Moreno,25,1992-04-07,180,75,RCD Espanyol de Barcelona,Spain Primera Division,79,83,16500000.0,40000.0,"ST, RM, CAM",Left,35900000.0,,,77.0,F,37,3280,37,0,4,6,0,0,13,4,0,4,0,82,33,31,33,5,32,4,28,0,8,56,40,52,49,759,1065,5,97,159,47,244,0,0,62,31,13,20,2,0,0,0,55,0,1691,126,226,330,471,2,67,0,539,57,1,0,0,1,0,0,0,0,19,0,0,0,47,8,0,0,0,0,0,0,0,38,37,0,68,2,0,12,2,6,95
2016/17,H. Çalhanoğlu,23,1994-02-08,178,76,AC Milan,Italian Serie A,79,83,16500000.0,90000.0,"LM, CAM",Right,29300000.0,,,80.0,M,15,1217,14,1,3,1,0,0,6,5,2,2,3,47,23,18,70,18,29,5,12,12,2,24,16,18,20,599,772,3,25,74,12,81,0,0,17,10,5,30,13,1,0,0,17,0,1090,40,242,97,441,1,123,0,301,42,2,1,0,1,11,2,40,36,12,8,3,0,18,2,0,0,0,0,0,0,0,9,9,0,45,1,0,3,2,3,30
2016/17,A. Romagnoli,22,1995-01-12,185,75,AC Milan,Italian Serie A,79,87,16000000.0,80000.0,CB,Left,30400000.0,,,78.0,D,27,2370,27,0,1,5,1,1,1,1,0,0,1,13,4,42,2,2,9,1,8,0,12,29,19,18,17,1358,1544,2,63,109,2,109,0,1,10,4,1,3,0,0,0,0,3,0,1859,18,136,59,462,7,15,0,208,197,0,0,0,0,0,0,0,0,2,0,0,0,27,9,0,0,0,0,0,0,0,154,143,0,77,0,0,4,1,0,3
2016/17,E. Hysaj,23,1994-02-02,182,70,Napoli,Italian Serie A,79,83,13500000.0,60000.0,RB,Right,24000000.0,,,79.0,D,35,3032,34,1,2,8,0,0,0,1,0,1,0,8,2,31,81,16,19,3,18,0,12,74,53,28,30,1734,2006,16,43,247,39,186,0,0,5,1,0,3,1,0,0,0,21,1,2790,29,324,115,820,20,96,0,436,120,0,0,0,0,0,0,0,0,18,0,0,0,39,7,0,0,0,0,1,0,0,64,61,0,61,1,0,5,0,0,55
2016/17,M. Benassi,22,1994-09-08,184,80,Fiorentina,Italian Serie A,79,86,17500000.0,60000.0,CM,Right,33300000.0,,,,M,28,2057,24,4,14,5,0,0,5,2,0,2,0,45,15,30,29,7,27,3,24,1,3,37,28,31,15,722,874,7,17,118,16,85,0,0,25,9,5,20,6,0,0,0,20,0,1170,43,227,115,438,1,41,0,228,50,0,0,0,0,0,0,2,0,13,0,0,0,35,1,0,0,0,0,0,0,0,21,20,0,33,2,0,2,2,3,23
2016/17,S. Boufal,23,1993-09-17,170,60,Southampton,English Premier League,79,84,17000000.0,90000.0,"LW, RW, CAM",Right,33600000.0,,,80.0,F/M,24,1101,12,12,10,5,0,0,1,0,1,0,0,25,7,5,34,6,23,3,19,2,1,38,25,25,22,390,508,4,10,86,73,143,0,1,8,1,0,17,6,1,0,0,54,0,917,51,186,157,293,1,62,0,310,12,0,0,0,0,2,0,9,5,11,1,1,0,22,1,0,0,0,0,0,0,0,3,3,0,17,1,0,1,0,0,119
2016/17,M. Meyer,21,1995-09-18,173,68,FC Schalke 04,German 1. Bundesliga,79,86,17500000.0,40000.0,"CAM, CF, LW",Right,34200000.0,SUB,18.0,80.0,M,27,1667,18,9,10,4,0,0,1,1,0,1,0,31,10,10,52,11,31,3,23,6,0,22,14,13,30,628,739,1,8,110,14,72,0,0,24,8,1,7,2,0,0,0,28,0,1024,50,217,107,442,2,73,0,237,35,0,0,0,0,12,2,26,26,11,3,0,0,21,2,0,0,0,0,0,0,0,4,4,0,22,1,0,3,1,1,40
2016/17,W. Cyprien,22,1995-01-28,180,75,OGC Nice,French Ligue 1,79,87,18500000.0,40000.0,"CM, CDM",Right,38900000.0,,,72.0,M,29,2432,27,2,3,2,0,0,8,3,0,2,1,52,22,12,25,7,26,4,21,2,6,33,27,26,68,1857,2080,3,15,193,55,169,0,2,16,6,5,36,16,3,0,0,57,0,2504,25,260,131,759,2,58,0,350,184,0,0,0,0,1,0,12,11,6,9,6,1,22,11,0,0,0,0,0,0,0,24,23,0,98,4,0,1,1,3,62
2016/17,N. Maksimović,25,1991-11-25,193,82,Napoli,Italian Serie A,79,83,13500000.0,60000.0,CB,Right,24000000.0,,,81.0,D,8,677,7,1,0,1,0,0,1,0,0,0,0,1,1,11,1,0,1,0,1,0,15,13,7,9,8,504,541,0,19,53,8,48,0,2,1,1,1,0,0,0,0,0,0,0,647,4,32,23,209,1,3,0,42,106,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,30,29,0,34,0,0,0,0,1,9
2016/17,D. Zappacosta,25,1992-06-11,182,70,Chelsea,English Premier League,79,82,13000000.0,110000.0,"RB, RWB, RM",Right,25000000.0,,,77.0,M/D,29,2333,25,4,1,1,0,0,1,5,0,5,0,28,5,38,166,48,41,8,23,13,11,43,33,28,14,936,1131,30,18,152,18,92,0,0,9,3,0,19,2,1,0,0,28,0,1979,32,212,119,474,16,164,0,462,89,0,0,0,0,2,1,43,38,27,0,0,0,43,4,0,0,0,0,0,0,0,58,57,0,45,2,1,5,0,0,48
2016/17,M. Dahoud,21,1996-01-01,177,69,Borussia Dortmund,German 1. Bundesliga,79,87,18500000.0,50000.0,"CM, CDM",Right,35200000.0,,,79.0,M,28,2281,26,2,9,3,0,0,2,6,0,6,0,44,13,48,2,2,29,8,23,0,3,75,56,44,34,1270,1560,2,13,146,38,160,0,0,17,7,2,27,6,0,0,0,32,0,1973,39,275,164,631,2,62,0,392,111,0,0,0,0,0,0,0,0,11,0,0,0,34,6,0,0,0,0,1,0,0,25,25,0,72,4,0,4,3,1,69
2016/17,Y. Cardinale,23,1994-03-27,181,84,OGC Nice,French Ligue 1,79,85,12500000.0,30000.0,GK,Right,26300000.0,,,75.0,G,36,3206,36,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,765,997,0,7,322,4,17,3,2,0,0,0,0,0,0,0,0,0,0,1426,0,5,4,89,0,1,0,236,90,0,0,0,0,0,0,0,0,0,0,0,0,35,11,112,66,43,8,0,4,0,16,16,8,222,0,1,0,0,0,4
2016/17,F. Andone,24,1993-04-11,180,78,Deportivo de La Coruña,Spain Primera Division,79,84,17000000.0,30000.0,ST,Right,37000000.0,ST,9.0,77.0,F,37,2900,32,5,12,6,0,0,12,2,0,2,0,99,42,4,20,2,16,1,14,0,3,23,17,92,36,290,431,2,56,50,40,151,0,0,84,34,11,15,8,1,1,0,50,0,975,185,100,347,184,0,23,0,399,10,0,0,0,0,0,0,0,0,42,0,0,0,49,3,0,0,0,0,0,0,0,31,30,0,9,0,0,34,5,9,112
2016/17,Oyarzabal,20,1997-04-21,181,78,Real Sociedad,Spain Primera Division,79,86,18000000.0,30000.0,"LW, RW",Left,41400000.0,,,77.0,F/M,38,2725,30,8,16,0,0,0,2,7,0,7,0,57,19,22,56,10,34,8,26,0,3,32,21,31,60,791,1050,10,29,126,36,154,0,0,27,11,2,30,8,0,0,1,61,0,1657,122,340,217,583,3,93,0,556,31,0,0,0,0,0,0,0,0,38,0,0,0,42,5,0,0,0,0,0,0,0,15,15,0,20,1,0,7,5,2,99
2016/17,Joaquín,35,1981-07-21,179,75,Real Betis Balompié,Spain Primera Division,78,78,4500000.0,20000.0,"RM, CAM, ST, LM",Right,9600000.0,,,78.0,M,28,1675,19,9,14,2,0,0,3,4,0,1,3,27,9,13,98,23,35,1,23,8,2,16,13,14,29,636,754,9,12,92,35,92,0,2,14,5,3,13,4,0,0,0,29,0,1131,34,257,107,476,2,120,0,300,25,0,0,0,0,17,1,52,45,16,9,3,0,32,3,0,0,0,0,0,0,0,9,9,0,41,0,0,4,2,1,68
2016/17,J. Toulalan,33,1983-09-10,183,86,FC Girondins de Bordeaux,French Ligue 1,78,78,4200000.0,40000.0,"CB, CDM",Right,8000000.0,,,83.0,M,30,2607,30,0,5,5,0,0,0,0,0,0,0,4,0,57,7,3,12,1,12,0,23,95,69,36,29,1370,1681,3,55,233,28,206,0,0,0,0,0,4,0,0,0,0,28,0,2167,3,206,148,588,8,30,0,378,200,0,0,0,0,0,0,0,0,3,0,0,0,32,10,0,0,0,0,1,0,0,101,95,0,74,0,0,0,0,0,31
